time bp_transducer_voltage trigger
2015-04-14-13-42-546000: 2.42998136865 -1.0
2015-04-14-13-42-562000: 2.38919381641 -1.0
2015-04-14-13-42-578000: 2.31698474243 -1.0
2015-04-14-13-42-593000: 2.24507779848 -1.0
2015-04-14-13-42-609000: 2.26159423939 -1.0
2015-04-14-13-42-625000: 2.23903519815 -1.0
2015-04-14-13-42-640000: 2.23228762778 -1.0
2015-04-14-13-42-656000: 2.20489450627 -1.0
2015-04-14-13-42-671000: 2.19170149554 -1.0
2015-04-14-13-42-687000: 2.16813535425 -1.0
2015-04-14-13-42-703000: 2.15282743341 -1.0
2015-04-14-13-42-718000: 2.13716702754 -1.0
2015-04-14-13-42-734000: 2.12090236165 -1.0
2015-04-14-13-42-750000: 2.11057958608 -1.0
2015-04-14-13-42-765000: 2.10302633567 -1.0
2015-04-14-13-42-781000: 2.09330782013 -1.0
2015-04-14-13-42-796000: 2.08041693942 -1.0
2015-04-14-13-42-828000: 2.07724457425 -1.0
2015-04-14-13-42-828000: 2.06873457878 -1.0
2015-04-14-13-42-843000: 2.06097990835 -1.0
2015-04-14-13-42-875000: 2.11163704114 -1.0
2015-04-14-13-42-890000: 2.39674706682 -1.0
2015-04-14-13-42-906000: 2.44035449922 -1.0
2015-04-14-13-42-921000: 2.48632861675 -1.0
2015-04-14-13-42-937000: 2.4782718163 2.4812718163
2015-04-14-13-42-953000: 2.46774762073 -1.0
2015-04-14-13-42-968000: 2.44433254444 -1.0
2015-04-14-13-42-984000: 2.41613374289 -1.0
2015-04-14-13-42-000000: 2.38380583111 -1.0
2015-04-14-13-42-015000: 2.31577622237 -1.0
2015-04-14-13-42-031000: 2.26305453447 -1.0
2015-04-14-13-42-046000: 2.24689057858 -1.0
2015-04-14-13-42-062000: 2.22125988217 -1.0
2015-04-14-13-42-078000: 2.21587189687 -1.0
2015-04-14-13-42-093000: 2.19155043054 -1.0
2015-04-14-13-42-109000: 2.17901203485 -1.0
2015-04-14-13-42-125000: 2.16511405408 -1.0
2015-04-14-13-42-140000: 2.1472380281 -1.0
2015-04-14-13-42-156000: 2.1308222972 -1.0
2015-04-14-13-42-171000: 2.12251372174 -1.0
2015-04-14-13-42-187000: 2.1055440858 -1.0
2015-04-14-13-42-203000: 2.09345888514 -1.0
2015-04-14-13-42-218000: 2.10111284556 -1.0
2015-04-14-13-42-234000: 2.07714386424 -1.0
2015-04-14-13-42-250000: 2.06566292361 -1.0
2015-04-14-13-42-265000: 2.05831109321 -1.0
